<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,60,20200805,060000,388.5500000,389.3000000,386.2200000,387.9300000,5276
GDAX.ETH-USD,60,20200805,070000,387.9500000,389.6400000,387.4800000,389.4200000,3889
GDAX.ETH-USD,60,20200805,080000,389.4100000,390.4300000,387.7700000,388.5000000,4970
GDAX.ETH-USD,60,20200805,090000,388.6200000,391.5500000,387.4400000,391.3900000,4329
GDAX.ETH-USD,60,20200805,100000,391.3900000,393.9900000,390.4600000,390.5000000,8249
GDAX.ETH-USD,60,20200805,110000,390.4600000,392.2700000,389.3400000,390.0500000,2402
GDAX.ETH-USD,60,20200805,120000,390.0400000,391.9400000,389.1100000,390.4800000,2892
GDAX.ETH-USD,60,20200805,130000,390.4700000,393.7300000,390.4600000,393.2700000,3265
GDAX.ETH-USD,60,20200805,140000,393.2800000,393.6400000,391.3600000,392.8000000,2309
GDAX.ETH-USD,60,20200805,150000,392.8000000,397.8000000,392.8000000,397.6900000,11125
GDAX.ETH-USD,60,20200805,160000,397.7300000,400.8900000,395.3900000,399.6800000,15942
GDAX.ETH-USD,60,20200805,170000,399.6300000,402.4700000,397.7500000,399.5200000,12618
GDAX.ETH-USD,60,20200805,180000,399.5300000,400.0000000,390.5600000,394.9700000,13500
GDAX.ETH-USD,60,20200805,190000,394.9700000,398.0000000,393.2700000,396.0200000,9760
GDAX.ETH-USD,60,20200805,200000,396.0200000,402.5000000,394.1200000,396.8700000,14629
GDAX.ETH-USD,60,20200805,210000,396.9100000,398.5300000,395.2400000,397.9700000,7596
GDAX.ETH-USD,60,20200805,220000,397.9600000,399.1200000,396.9100000,398.0000000,4420
GDAX.ETH-USD,60,20200805,230000,398.0000000,401.0000000,397.9700000,399.2300000,10842
GDAX.ETH-USD,60,20200806,000000,399.2400000,401.8500000,398.2800000,400.5400000,7700
GDAX.ETH-USD,60,20200806,010000,400.5500000,408.0000000,400.0100000,405.9900000,16724
GDAX.ETH-USD,60,20200806,020000,405.9900000,406.2500000,391.7800000,397.3600000,22051
